0.3468,0.48089,3.23
0.34711,0.48122,3.23
0.34705,0.47998,3.23
0.34706,0.47964,3.23
0.34776,0.48069,3.23
0.34927,0.48574,3.23
0.35,0.48791,3.23
0.34991,0.48787,3.23
0.3487,0.48706,3.23
0.34761,0.48727,3.23
0.34658,0.4861,3.23
0.3485,0.48717,3.23
0.34808,0.4882,3.23
0.34737,0.48972,3.23
0.34798,0.48931,3.23
0.34812,0.49001,3.23
0.34739,0.48995,3.23
0.34667,0.48989,3.23
0.34598,0.48936,3.23
0.34593,0.48816,3.23
0.34587,0.48858,3.23
0.34621,0.48903,3.23
0.34632,0.49166,3.23
0.34583,0.49291,3.23
0.34629,0.49212,3.23
0.34619,0.49031,3.23
0.34741,0.49165,3.23
0.34711,0.49101,3.23
0.34634,0.49184,3.23
0.34596,0.49392,3.23
0.34591,0.49327,3.23
0.34544,0.49435,3.23
0.3467,0.49605,3.23
0.34553,0.49503,3.23
0.34575,0.49688,3.23
0.34619,0.49655,3.23
0.34631,0.49851,3.23
0.34693,0.50056,3.23
0.34722,0.50414,3.23
0.34806,0.50528,3.23
0.34883,0.50498,3.23
0.34877,0.50606,3.23
0.34774,0.50572,3.23
0.34786,0.50579,3.23
0.3475,0.5046,3.23
0.34766,0.50653,3.23
0.34889,0.50635,3.23
0.34983,0.50624,3.23
0.3504,0.50523,3.23
0.34933,0.50481,3.23
0.34875,0.50383,3.23
0.34825,0.5031,3.23
0.3472,0.50335,3.23
0.3463,0.50309,3.23
0.34659,0.50413,3.23
0.34675,0.50356,3.23
0.34631,0.50275,3.23
0.34621,0.50318,3.23
0.3482,0.50449,3.23
0.34777,0.50391,3.23
0.34823,0.50475,3.23
0.34747,0.50461,3.23
0.34938,0.50546,3.23
0.34895,0.50612,3.23
0.34947,0.50527,3.23
0.349,0.50388,3.23
0.34969,0.50588,3.23
0.35061,0.50708,3.23
0.35151,0.50828,3.23
0.35241,0.50946,3.23
0.35142,0.5089,3.23
0.35134,0.50841,3.23
0.35038,0.5083,3.23
0.3512,0.50882,3.23
0.35204,0.51126,3.23
0.35225,0.51103,3.23
0.35151,0.51142,3.23
0.35138,0.51057,3.23
0.35066,0.51122,3.23
0.3502,0.51016,3.23
0.34925,0.50916,3.23
0.34854,0.50837,3.23
0.34817,0.50841,3.23
0.34884,0.50873,3.23
0.35011,0.51102,3.23
0.35081,0.50969,3.23
0.3509,0.50875,3.23
0.35225,0.50964,3.23
0.35171,0.51065,3.23
0.35262,0.51246,3.23
0.3531,0.51427,3.23
0.35214,0.51351,3.23
0.35258,0.51385,3.23
0.35264,0.515,3.23
0.35281,0.51517,3.23
0.35256,0.51452,3.23
0.35206,0.5143,3.23
0.35175,0.51554,3.23
0.35247,0.51424,3.23
0.35204,0.51476,3.23
0.35196,0.51557,3.23
0.35156,0.51727,3.23
0.35219,0.518,3.23
0.35152,0.51686,3.23
0.35151,0.51591,3.23
0.35224,0.51733,3.23
0.35223,0.51731,3.23
0.35264,0.51745,3.23
0.35296,0.51908,3.23
0.35356,0.51891,3.23
0.35321,0.51877,3.23
0.35236,0.51916,3.23
0.35212,0.51993,3.23
0.35289,0.52045,3.23
0.35265,0.52134,3.23
0.35181,0.52275,3.23
0.35221,0.52344,3.23
0.3519,0.52295,3.23
0.35229,0.52302,3.23
0.35269,0.52309,3.23
0.35308,0.52316,3.23
0.35324,0.52376,3.23
0.35384,0.52546,3.23
0.35382,0.52694,3.23
0.35398,0.52662,3.23
0.35481,0.52766,3.23
0.35445,0.52747,3.23
0.35376,0.52732,3.23
0.35347,0.52691,3.23
0.35388,0.52799,3.23
0.35363,0.52768,3.23
0.35308,0.52852,3.23
0.353,0.52822,3.23
0.35343,0.52774,3.23
0.3545,0.52754,3.23
0.35366,0.52901,3.23
0.35286,0.52855,3.23
0.35364,0.52847,3.23
0.35612,0.53051,3.23
0.3562,0.53036,3.23
0.35619,0.52956,3.23
0.35601,0.52873,3.23
0.35628,0.5283,3.23
0.35593,0.52777,3.23
0.35647,0.52732,3.23
0.35722,0.52727,3.23
0.3573,0.52733,3.23
0.35799,0.53023,3.23
0.35762,0.52956,3.23
0.35709,0.52944,3.23
0.35677,0.53117,3.23
0.3573,0.53175,3.23
0.35737,0.5324,3.23
0.35669,0.53163,3.23
0.3566,0.53105,3.23
0.35714,0.53062,3.23
0.35756,0.53168,3.23
0.35692,0.53126,3.23
0.35723,0.53099,3.23
0.35774,0.5318,3.23
0.35793,0.53167,3.23
0.35856,0.53119,3.23
0.35844,0.5313,3.23
0.3594,0.53124,3.23
0.36012,0.53198,3.23
0.35938,0.53182,3.23
0.36014,0.53277,3.23
0.3606,0.53203,3.23
0.36093,0.532,3.23
0.36017,0.53194,3.23
0.35963,0.53184,3.23
0.35908,0.53175,3.23
0.35976,0.53147,3.23
0.36007,0.53226,3.23
0.35987,0.53192,3.23
0.35949,0.53136,3.23
0.36006,0.53154,3.23
0.36085,0.53104,3.23
0.36079,0.53119,3.23
0.36124,0.53219,3.23
0.3613,0.53174,3.23
0.36204,0.5323,3.23
0.36159,0.53262,3.23
0.36187,0.53458,3.23
0.3617,0.53493,3.23
0.36331,0.53735,3.23
0.36375,0.53641,3.23
0.36442,0.53632,3.23
0.36434,0.53632,3.23
0.36393,0.536,3.23
0.36448,0.53667,3.23
0.36558,0.53777,3.23
0.36517,0.53735,3.23
0.36602,0.53728,3.23
0.36633,0.53745,3.23
0.3666,0.5386,3.23
0.36748,0.53942,3.23
0.36793,0.54011,3.23
0.36752,0.54205,3.23
0.36771,0.54247,3.23
