Ft,Fs,Depth
0.36717,0.55727,18.4
0.36728,0.55654,18.4
0.36689,0.5566,18.4
0.36651,0.55417,18.4
0.36735,0.55435,18.4
0.36644,0.55496,18.4
0.36569,0.55267,18.4
0.36473,0.5523,18.4
0.3659,0.55309,18.4
0.36669,0.55295,18.4
0.36678,0.55353,18.4
0.36751,0.55445,18.4
0.367,0.55443,18.4
0.36613,0.5548,18.4
0.36775,0.55535,18.4
0.37061,0.55692,18.4
0.36977,0.55364,18.4
0.36791,0.55109,18.4
0.36658,0.55108,18.4
0.36558,0.55137,18.4
0.36448,0.54913,18.4
0.36505,0.55131,18.4
0.36385,0.55036,18.4
0.36403,0.55123,18.4
0.36406,0.55061,18.4
0.36194,0.54843,18.4
0.3601,0.54701,18.4
0.36076,0.54281,18.4
0.36153,0.54324,18.4
0.3619,0.54212,18.4
0.36208,0.54228,18.4
0.36159,0.54137,18.4
0.3605,0.54115,18.4
0.3597,0.53931,18.4
0.35929,0.5389,18.4
0.35874,0.53978,18.4
0.35693,0.53771,18.4
0.35605,0.53779,18.4
0.35522,0.53698,18.4
0.35457,0.53662,18.4
0.35261,0.53518,18.4
0.35243,0.53546,18.4
0.35369,0.53402,18.4
0.3537,0.53521,18.4
0.35488,0.53705,18.4
0.35337,0.53852,18.4
0.35295,0.53788,18.4
0.35247,0.53972,18.4
0.35074,0.54066,18.4
0.35118,0.54076,18.4
0.35089,0.54114,18.4
0.35214,0.54185,18.4
0.3511,0.54174,18.4
0.35168,0.54254,18.4
0.35127,0.54374,18.4
0.35066,0.54372,18.4
0.35164,0.54332,18.4
0.35134,0.5432,18.4
0.35043,0.54323,18.4
0.35111,0.54489,18.4
0.35008,0.54369,18.4
0.34963,0.54268,18.4
0.35034,0.54292,18.4
0.34926,0.5434,18.4
0.35037,0.54967,18.4
0.35093,0.54925,18.4
0.35081,0.54921,18.4
0.35031,0.54828,18.4
0.35,0.54825,18.4
0.34919,0.54677,18.4
0.34775,0.54487,18.4
0.34763,0.54597,18.4
0.34788,0.54568,18.4
0.34727,0.54498,18.4
0.34614,0.54344,18.4
0.3465,0.54222,18.4
0.34652,0.54199,18.4
0.34453,0.54171,18.4
0.3441,0.54186,18.4
0.34491,0.54292,18.4
0.34501,0.54451,18.4
0.3455,0.5436,18.4
0.34437,0.54275,18.4
0.34309,0.54199,18.4
0.34199,0.54406,18.4
0.33976,0.5406,18.4
0.33927,0.54166,18.4
0.33883,0.53949,18.4
0.33864,0.53934,18.4
0.33898,0.53933,18.4
0.33855,0.54057,18.4
0.33788,0.54068,18.4
0.33796,0.54011,18.4
0.33908,0.54187,18.4
0.33792,0.54153,18.4
0.33719,0.54293,18.4
0.33789,0.54374,18.4
0.33768,0.54353,18.4
0.33819,0.54316,18.4
0.33865,0.54512,18.4
0.33755,0.5452,18.4
0.33984,0.54504,18.4
0.34068,0.54642,18.4
0.33996,0.54537,18.4
0.33932,0.54533,18.4
0.33868,0.54352,18.4
0.33876,0.5424,18.4
0.33775,0.54259,18.4
0.33706,0.53983,18.4
0.33549,0.53954,18.4
0.33574,0.53902,18.4
0.33644,0.54045,18.4
0.33509,0.53844,18.4
0.33373,0.53738,18.4
0.33284,0.53537,18.4
0.33076,0.53493,18.4
0.33078,0.53573,18.4
0.33126,0.5365,18.4
0.33101,0.53697,18.4
0.33077,0.53647,18.4
0.33126,0.53608,18.4
0.33191,0.5373,18.4
0.33267,0.5377,18.4
0.33118,0.53661,18.4
0.33129,0.53792,18.4
0.33035,0.5371,18.4
0.33157,0.53805,18.4
0.3306,0.5358,18.4
0.33101,0.53545,18.4
0.33153,0.53507,18.4
0.33193,0.53674,18.4
0.33188,0.53678,18.4
0.33126,0.53724,18.4
0.33155,0.53881,18.4
0.33195,0.54064,18.4
0.33165,0.53698,18.4
0.33128,0.53608,18.4
0.33176,0.53369,18.4
0.33344,0.53505,18.4
0.33298,0.53371,18.4
0.33419,0.53523,18.4
0.33321,0.53626,18.4
0.33401,0.53722,18.4
0.33471,0.53536,18.4
0.33434,0.53599,18.4
0.33379,0.53521,18.4
0.33427,0.53874,18.4
0.3347,0.53869,18.4
0.3338,0.53804,18.4
0.3347,0.53715,18.4
0.33742,0.5379,18.4
0.33623,0.53586,18.4
0.3363,0.5347,18.4
0.33721,0.53609,18.4
0.33743,0.53524,18.4
0.33769,0.53658,18.4
0.33683,0.5362,18.4
0.33782,0.53623,18.4
0.3372,0.53531,18.4
0.33689,0.53428,18.4
0.33725,0.53335,18.4
0.33602,0.53033,18.4
0.33442,0.53129,18.4
0.33256,0.53284,18.4
0.33004,0.53094,18.4
0.33101,0.53025,18.4
0.33228,0.52959,18.4
0.3324,0.5288,18.4
0.33324,0.52865,18.4
0.33412,0.52918,18.4
0.33436,0.52966,18.4
0.33344,0.52815,18.4
0.33371,0.52907,18.4
0.33406,0.53078,18.4
0.33356,0.52978,18.4
0.33422,0.53083,18.4
0.33543,0.5305,18.4
0.33642,0.53056,18.4
0.3367,0.53023,18.4
0.33688,0.52953,18.4
0.33677,0.5286,18.4
0.33693,0.52676,18.4
0.3369,0.52704,18.4
0.33706,0.52602,18.4
0.33523,0.52558,18.4
0.33518,0.52639,18.4
0.33461,0.52549,18.4
0.33302,0.5245,18.4
0.33435,0.5262,18.4
0.33229,0.52579,18.4
0.33165,0.52499,18.4
0.33336,0.525,18.4
0.33351,0.52524,18.4
0.33437,0.52674,18.4
0.33367,0.52682,18.4
0.33323,0.5275,18.4
0.33369,0.52752,18.4
0.33577,0.52746,18.4
0.33524,0.52795,18.4
0.3351,0.52812,18.4
0.33576,0.52833,18.4
0.33575,0.52994,18.4
0.3336,0.52897,18.4
0.33377,0.52816,18.4
0.33376,0.52744,18.4
0.33378,0.52727,18.4
0.3333,0.52666,18.4
0.33198,0.52377,18.4
0.33149,0.52396,18.4
0.33149,0.52706,18.4
0.33049,0.52643,18.4
0.33085,0.52697,18.4
0.32928,0.5272,18.4
0.32885,0.52674,18.4
0.32841,0.52687,18.4
0.32841,0.52731,18.4
0.32829,0.52599,18.4
0.32798,0.52447,18.4
0.32845,0.52453,18.4
0.32813,0.52363,18.4
0.32786,0.52238,18.4
0.32499,0.52137,18.4
0.32456,0.51972,18.4
0.32461,0.52032,18.4
0.32575,0.52041,18.4
0.32537,0.52023,18.4
0.32585,0.52081,18.4
0.32499,0.51881,18.4
0.32501,0.51974,18.4
0.32501,0.52111,18.4
0.32477,0.52154,18.4
0.3246,0.52085,18.4
0.32559,0.52133,18.4
0.32604,0.52028,18.4
0.32583,0.52125,18.4
0.32585,0.5216,18.4
0.32498,0.52093,18.4
0.32402,0.52371,18.4
0.32363,0.52353,18.4
0.32294,0.52346,18.4
0.32221,0.52372,18.4
0.32198,0.52313,18.4
0.32209,0.52345,18.4
0.32061,0.52368,18.4
0.32013,0.52275,18.4
0.31913,0.52122,18.4
0.31848,0.52131,18.4
0.31942,0.52208,18.4
0.31834,0.51899,18.4
0.31792,0.51783,18.4
0.31853,0.52042,18.4
0.31878,0.52088,18.4
0.3198,0.52055,18.4
0.32107,0.51957,18.4
0.31974,0.52035,18.4
0.32013,0.5198,18.4
0.31985,0.51979,18.4
0.32037,0.5201,18.4
0.32083,0.52059,18.4
0.32057,0.52091,18.4
0.32022,0.52215,18.4
0.31951,0.51924,18.4
0.32124,0.51801,18.4
0.32122,0.51621,18.4
0.32228,0.51586,18.4
0.32281,0.51574,18.4
0.32371,0.51469,18.4
0.32358,0.5147,18.4
0.32286,0.5163,18.4
0.32278,0.51591,18.4
0.32283,0.51757,18.4
0.32298,0.51868,18.4
0.32271,0.51888,18.4
0.32285,0.51855,18.4
0.32179,0.5174,18.4
0.31987,0.5169,18.4
0.32203,0.51809,18.4
0.32232,0.51892,18.4
0.32233,0.51995,18.4
0.32131,0.52363,18.4
0.32137,0.52364,18.4
0.32198,0.52423,18.4
0.32152,0.52415,18.4
0.32353,0.525,18.4
0.324,0.52442,18.4
0.32442,0.52613,18.4
0.32202,0.52439,18.4
0.32083,0.52535,18.4
0.32258,0.52581,18.4
0.32282,0.52557,18.4
0.32318,0.52609,18.4
0.32317,0.52329,18.4
0.32317,0.52366,18.4
0.32328,0.52162,18.4
0.32268,0.52283,18.4
0.32239,0.52478,18.4
0.3248,0.5305,18.4
0.32473,0.53168,18.4
0.32358,0.53212,18.4
0.32367,0.53222,18.4
0.32358,0.53169,18.4
0.32409,0.53056,18.4
0.32351,0.53151,18.4
0.32173,0.53103,18.4
0.32033,0.53346,18.4
0.32051,0.53202,18.4
0.31962,0.53088,18.4
0.32002,0.5299,18.4
0.31943,0.53001,18.4
0.31898,0.52893,18.4
0.3181,0.53104,18.4
0.31845,0.53117,18.4
0.31738,0.53074,18.4
0.31745,0.52803,18.4
0.31819,0.52769,18.4
0.31744,0.52906,18.4
0.31775,0.53247,18.4
0.31826,0.53508,18.4
0.31572,0.53453,18.4
0.31297,0.53423,18.4
0.31295,0.53526,18.4
0.31342,0.53627,18.4
0.3136,0.53663,18.4
0.31457,0.53712,18.4
0.3142,0.53863,18.4
0.3142,0.53615,18.4
0.31327,0.5356,18.4
0.31427,0.53389,18.4
0.31376,0.53317,18.4
0.31313,0.53302,18.4
0.31406,0.53561,18.4
0.31255,0.53509,18.4
0.31185,0.53396,18.4
0.31154,0.53454,18.4
0.31187,0.53411,18.4
0.31232,0.53667,18.4
0.31232,0.53818,18.4
0.31235,0.53869,18.4
0.31302,0.53787,18.4
0.31342,0.53638,18.4
0.31311,0.53727,18.4
0.31307,0.53862,18.4
0.31262,0.54105,18.4
0.31377,0.54271,18.4
0.31476,0.54245,18.4
0.31494,0.54534,18.4
0.314,0.5454,18.4
0.31258,0.54229,18.4
0.31197,0.54139,18.4
0.31231,0.54186,18.4
0.31238,0.54223,18.4
0.31234,0.54033,18.4
0.31243,0.53826,18.4
0.311,0.53468,18.4
0.31279,0.53323,18.4
0.31232,0.53248,18.4
0.31336,0.53296,18.4
0.31344,0.53074,18.4
0.31286,0.53005,18.4
0.31478,0.53244,18.4
0.31307,0.53131,18.4
0.31192,0.53083,18.4
0.31188,0.52957,18.4
0.31086,0.5295,18.4
0.31077,0.53127,18.4
0.31174,0.53169,18.4
0.31108,0.53293,18.4
0.31026,0.53174,18.4
0.31003,0.52706,18.4
0.30936,0.52901,18.4
0.30863,0.53075,18.4
0.3082,0.53376,18.4
0.30733,0.53395,18.4
0.30767,0.53585,18.4
0.30825,0.5384,18.4
0.30883,0.53808,18.4
0.30885,0.53731,18.4
0.31023,0.53669,18.4
0.31061,0.54156,18.4
0.30966,0.54413,18.4
0.30914,0.54512,18.4
0.31057,0.54777,18.4
0.31156,0.54894,18.4
0.31065,0.54838,18.4
0.31028,0.54804,18.4
0.3107,0.55142,18.4
0.31241,0.55442,18.4
0.31323,0.55593,18.4
0.31402,0.55713,18.4
0.31427,0.56086,18.4
0.31434,0.56018,18.4
0.31457,0.56215,18.4
0.31412,0.56378,18.4
0.3142,0.56346,18.4
0.31436,0.56646,18.4
0.31467,0.56723,18.4
0.3143,0.56722,18.4
0.3143,0.5654,18.4
0.31345,0.56506,18.4
0.31391,0.56419,18.4
0.31414,0.56557,18.4
0.31546,0.5644,18.4
0.31424,0.5637,18.4
0.31376,0.56542,18.4
0.31338,0.5653,18.4
0.31255,0.56326,18.4
0.31174,0.56431,18.4
0.31168,0.56467,18.4
0.31217,0.56429,18.4
0.31375,0.56487,18.4
0.3139,0.56478,18.4
0.31357,0.56456,18.4
0.31402,0.5652,18.4
0.31453,0.56605,18.4
0.31401,0.56609,18.4
0.3127,0.56359,18.4
0.31204,0.56507,18.4
0.31208,0.56586,18.4
0.31112,0.56536,18.4
0.31179,0.56736,18.4
0.313,0.56839,18.4
0.31243,0.56732,18.4
0.31317,0.56759,18.4
0.31398,0.56947,18.4
0.31287,0.56954,18.4
0.31132,0.57004,18.4
0.30999,0.57214,18.4
0.31048,0.57258,18.4
0.31076,0.5718,18.4
0.31221,0.57319,18.4
0.31099,0.57134,18.4
0.31316,0.57231,18.4
0.31318,0.57477,18.4
0.31356,0.57762,18.4
0.31312,0.5766,18.4
0.31394,0.57768,18.4
0.314,0.57719,18.4
0.31444,0.57806,18.4
0.31438,0.5774,18.4
0.31387,0.57758,18.4
0.31502,0.57871,18.4
0.31545,0.5802,18.4
0.31344,0.58136,18.4
0.31388,0.58074,18.4
0.31251,0.57957,18.4
0.3128,0.57825,18.4
0.31193,0.57673,18.4
0.31133,0.57696,18.4
0.31248,0.57799,18.4
0.31253,0.57936,18.4
0.31211,0.5776,18.4
0.31206,0.57741,18.4
0.31331,0.57791,18.4
0.31294,0.57909,18.4
0.31124,0.5796,18.4
0.31128,0.57964,18.4
0.3117,0.5811,18.4
0.31207,0.58124,18.4
0.31173,0.58317,18.4
0.3113,0.58116,18.4
0.31259,0.58168,18.4
0.31414,0.58462,18.4
0.31459,0.58548,18.4
0.31476,0.58491,18.4
0.31501,0.58756,18.4
0.31634,0.58913,18.4
0.31742,0.59003,18.4
0.31833,0.58889,18.4
0.31936,0.58968,18.4
0.3186,0.59112,18.4
0.31768,0.5939,18.4
0.31927,0.59459,18.4
0.31845,0.59545,18.4
0.31881,0.59631,18.4
0.31805,0.59836,18.4
0.31728,0.60121,18.4
0.31736,0.60153,18.4
0.31734,0.60056,18.4
0.31751,0.60108,18.4
0.3182,0.59994,18.4
0.31749,0.60142,18.4
0.31742,0.60021,18.4
0.31735,0.60171,18.4
0.31666,0.60182,18.4
0.31814,0.60395,18.4
0.31855,0.60617,18.4
0.31987,0.60574,18.4
0.3198,0.6065,18.4
0.31991,0.60667,18.4
0.32026,0.60586,18.4
0.32046,0.60652,18.4
0.32045,0.60739,18.4
0.31872,0.60608,18.4
0.3208,0.60488,18.4
0.32099,0.60684,18.4
0.31969,0.60628,18.4
0.32121,0.60974,18.4
0.3213,0.60948,18.4
0.32214,0.60965,18.4
0.32354,0.60872,18.4
0.3234,0.60981,18.4
0.32178,0.6104,18.4
0.32142,0.61174,18.4
0.32125,0.61144,18.4
0.32068,0.6101,18.4
0.32032,0.60914,18.4
0.32035,0.60974,18.4
0.32141,0.61112,18.4
0.32194,0.61146,18.4
0.32222,0.61277,18.4
0.32207,0.61213,18.4
0.32235,0.61181,18.4
0.32288,0.61227,18.4
0.32246,0.60785,18.4
0.32396,0.60822,18.4
0.32562,0.6062,18.4
0.32553,0.60314,18.4
0.32563,0.60382,18.4
0.32585,0.60363,18.4
0.32544,0.60483,18.4
0.32552,0.60664,18.4
0.32599,0.60881,18.4
0.32587,0.60963,18.4
0.32646,0.60891,18.4
0.32674,0.60985,18.4
0.32718,0.61368,18.4
0.32702,0.61415,18.4
0.3275,0.61358,18.4
0.32682,0.61494,18.4
0.3275,0.61615,18.4
0.32712,0.61565,18.4
0.32563,0.61567,18.4
0.3258,0.61507,18.4
0.3266,0.61311,18.4
0.32683,0.61292,18.4
0.32641,0.6143,18.4
0.32524,0.61549,18.4
0.32525,0.61581,18.4
0.32545,0.61687,18.4
0.32536,0.61618,18.4
0.32575,0.61676,18.4
0.32632,0.61709,18.4
0.32638,0.61681,18.4
0.32735,0.62004,18.4
0.3277,0.61957,18.4
0.32734,0.61985,18.4
0.32683,0.61971,18.4
0.32664,0.62022,18.4
0.32756,0.62236,18.4
0.32939,0.6229,18.4
0.33009,0.62223,18.4
0.33106,0.62203,18.4
0.33237,0.62247,18.4
0.33319,0.62345,18.4
0.33261,0.62073,18.4
0.3334,0.62088,18.4
0.33356,0.62238,18.4
0.33357,0.62186,18.4
0.33391,0.62201,18.4
0.33316,0.62326,18.4
0.33364,0.62371,18.4
0.33353,0.62507,18.4
0.33475,0.62604,18.4
0.33418,0.62711,18.4
0.33462,0.62824,18.4
0.33574,0.628,18.4
0.33479,0.62696,18.4
0.33458,0.62827,18.4
0.33343,0.62999,18.4
0.33375,0.63267,18.4
0.3329,0.63278,18.4
0.33297,0.6335,18.4
0.33414,0.63412,18.4
0.33515,0.63688,18.4
0.33497,0.63344,18.4
0.33477,0.63263,18.4
0.33563,0.63284,18.4
0.33543,0.63371,18.4
0.33551,0.63446,18.4
0.33551,0.63507,18.4
0.33371,0.63434,18.4
0.33343,0.63226,18.4
0.33361,0.63001,18.4
0.33363,0.62649,18.4
0.33323,0.62536,18.4
0.33302,0.62736,18.4
0.33306,0.62632,18.4
0.33148,0.62794,18.4
0.33084,0.62803,18.4
0.33194,0.62743,18.4
0.33247,0.62823,18.4
0.33252,0.62687,18.4
0.3314,0.62638,18.4
0.33064,0.62592,18.4
0.33077,0.62642,18.4
0.32978,0.62648,18.4
0.32961,0.6271,18.4
0.32971,0.62615,18.4
0.33094,0.62679,18.4
0.33095,0.62537,18.4
0.32769,0.61948,18.4
0.32769,0.61873,18.4
0.32767,0.61894,18.4
0.32775,0.6194,18.4
0.32723,0.62125,18.4
0.3271,0.62211,18.4
0.32745,0.621,18.4
0.32733,0.61978,18.4
0.32755,0.61657,18.4
0.32626,0.61697,18.4
0.3274,0.6167,18.4
0.32683,0.61697,18.4
0.32633,0.61699,18.4
0.32574,0.61742,18.4
0.32628,0.61502,18.4
0.32785,0.61915,18.4
0.329,0.61981,18.4
0.32829,0.62149,18.4
0.32993,0.6227,18.4
0.32917,0.61994,18.4
0.32866,0.61998,18.4
0.32865,0.61761,18.4
0.32921,0.61657,18.4
0.32945,0.61648,18.4
0.32899,0.61635,18.4
0.32886,0.61552,18.4
0.32921,0.61443,18.4
0.32989,0.61608,18.4
0.3298,0.61554,18.4
0.32995,0.61627,18.4
0.32989,0.61633,18.4
0.32905,0.61722,18.4
0.32963,0.61792,18.4
0.32996,0.61753,18.4
0.32916,0.61502,18.4
0.32869,0.61374,18.4
0.3279,0.61502,18.4
0.32779,0.61444,18.4
0.32779,0.61589,18.4
0.32814,0.61662,18.4
0.32895,0.61719,18.4
0.32903,0.6169,18.4
0.33005,0.62025,18.4
0.33075,0.62022,18.4
0.33198,0.62102,18.4
0.33182,0.62041,18.4
0.33159,0.61806,18.4
0.33159,0.61644,18.4
0.33251,0.61882,18.4
0.33438,0.61739,18.4
0.33427,0.61738,18.4
0.33371,0.61637,18.4
0.33457,0.61566,18.4
0.33557,0.61567,18.4
0.33515,0.61579,18.4
0.33614,0.61619,18.4
0.33559,0.61783,18.4
0.33634,0.6197,18.4
0.33406,0.6194,18.4
0.33471,0.62137,18.4
0.3351,0.6231,18.4
0.33515,0.6253,18.4
0.33707,0.62511,18.4
0.33574,0.62276,18.4
0.33494,0.62354,18.4
0.33453,0.62374,18.4
0.33362,0.62408,18.4
0.3347,0.62648,18.4
0.33647,0.62576,18.4
0.33478,0.62519,18.4
0.33422,0.62242,18.4
0.33377,0.62302,18.4
0.33311,0.62181,18.4
0.33605,0.62329,18.4
0.3359,0.62191,18.4
0.33634,0.61941,18.4
0.33618,0.61954,18.4
0.33575,0.61753,18.4
0.33612,0.61699,18.4
0.33601,0.61571,18.4
0.33533,0.61552,18.4
0.33406,0.61599,18.4
0.33401,0.61342,18.4
0.33428,0.61248,18.4
0.3351,0.61148,18.4
0.33443,0.60818,18.4
0.33349,0.60809,18.4
0.33491,0.60739,18.4
0.33444,0.60744,18.4
0.33381,0.6041,18.4
0.33304,0.59963,18.4
0.33171,0.59837,18.4
0.33142,0.59835,18.4
0.33152,0.59556,18.4
0.33164,0.59735,18.4
0.33155,0.59845,18.4
0.33164,0.59569,18.4
0.33076,0.59601,18.4
0.33133,0.59279,18.4
0.33129,0.59216,18.4
0.33132,0.59145,18.4
0.33005,0.59142,18.4
0.33002,0.59133,18.4
0.33021,0.59234,18.4
0.33042,0.59204,18.4
0.32945,0.59306,18.4
0.3307,0.59486,18.4
0.33154,0.59145,18.4
0.33288,0.59317,18.4
0.33147,0.59504,18.4
0.33149,0.59234,18.4
0.33119,0.59125,18.4
0.3319,0.595,18.4
0.33048,0.59485,18.4
0.3313,0.59879,18.4
0.33038,0.59783,18.4
0.3309,0.60034,18.4
0.3307,0.60001,18.4
0.33088,0.60243,18.4
0.33168,0.60535,18.4
0.33206,0.60498,18.4
0.33218,0.605,18.4
0.33246,0.60643,18.4
0.33213,0.60547,18.4
0.33044,0.60467,18.4
0.33105,0.60485,18.4
0.33058,0.6033,18.4
0.3293,0.60315,18.4
0.32969,0.60214,18.4
0.33063,0.59965,18.4
0.33196,0.59944,18.4
0.33273,0.59855,18.4
0.33273,0.6003,18.4
0.33161,0.59877,18.4
0.33166,0.5988,18.4
0.32951,0.59828,18.4
0.33037,0.59501,18.4
0.33113,0.59388,18.4
0.33174,0.59238,18.4
0.33072,0.59297,18.4
0.33046,0.5928,18.4
0.32916,0.5915,18.4
0.33017,0.59053,18.4
0.33025,0.59005,18.4
0.33014,0.59156,18.4
0.33019,0.59123,18.4
0.33113,0.58954,18.4
0.33182,0.59245,18.4
0.3316,0.59167,18.4
0.33178,0.59114,18.4
0.33223,0.59153,18.4
0.33251,0.59129,18.4
0.33107,0.59071,18.4
0.33145,0.58945,18.4
0.33155,0.5885,18.4
0.33153,0.58809,18.4
0.33134,0.58758,18.4
0.3324,0.58869,18.4
0.33205,0.5881,18.4
0.33155,0.58962,18.4
0.33087,0.59008,18.4
0.32987,0.58965,18.4
0.32905,0.58731,18.4
0.32962,0.5871,18.4
0.32912,0.58674,18.4
0.32788,0.58288,18.4
0.32759,0.58503,18.4
0.32787,0.5842,18.4
0.3277,0.58278,18.4
0.32723,0.58198,18.4
0.32608,0.58061,18.4
0.32618,0.58263,18.4
0.32523,0.58121,18.4
0.32661,0.5814,18.4
0.3266,0.57958,18.4
0.32678,0.58076,18.4
0.32671,0.58095,18.4
0.32589,0.5844,18.4
0.32614,0.58164,18.4
0.32592,0.58015,18.4
0.32573,0.58111,18.4
0.3264,0.58182,18.4
0.3255,0.58172,18.4
0.32366,0.5821,18.4
0.32368,0.58075,18.4
0.32306,0.58085,18.4
0.3229,0.57947,18.4
0.32453,0.57894,18.4
0.32408,0.57851,18.4
0.32411,0.57887,18.4
0.32268,0.5795,18.4
0.32239,0.57841,18.4
0.32265,0.57978,18.4
0.32245,0.58142,18.4
0.322,0.58348,18.4
0.32341,0.58412,18.4
0.32394,0.58353,18.4
0.32197,0.58287,18.4
0.32223,0.58242,18.4
0.32175,0.58168,18.4
0.31966,0.57847,18.4
0.31955,0.57714,18.4
0.31927,0.57627,18.4
0.3186,0.57667,18.4
0.31815,0.57376,18.4
0.31722,0.57407,18.4
0.3176,0.57218,18.4
0.31769,0.57347,18.4
0.31872,0.57616,18.4
0.31833,0.5763,18.4
0.31878,0.57577,18.4
0.31856,0.57388,18.4
0.31887,0.57575,18.4
0.31857,0.57475,18.4
0.31834,0.5751,18.4
0.31757,0.57597,18.4
0.31774,0.5756,18.4
0.31775,0.5776,18.4
0.31623,0.57757,18.4
0.31469,0.57856,18.4
0.31597,0.58021,18.4
0.31592,0.57934,18.4
0.31581,0.57894,18.4
0.31788,0.57852,18.4
0.31802,0.57625,18.4
0.31783,0.57535,18.4
0.31775,0.57332,18.4
0.31745,0.57516,18.4
0.31718,0.57431,18.4
0.31792,0.57171,18.4
0.31764,0.57128,18.4
0.31803,0.57195,18.4
0.31889,0.57393,18.4
0.3178,0.57269,18.4
0.31979,0.57602,18.4
0.32054,0.57734,18.4
0.32048,0.57971,18.4
0.31979,0.58256,18.4
0.32018,0.58249,18.4
0.32048,0.58147,18.4
0.32282,0.58319,18.4
0.32283,0.58365,18.4
0.32377,0.58361,18.4
0.32418,0.58497,18.4
0.32437,0.58432,18.4
0.3243,0.58417,18.4
0.32424,0.58476,18.4
0.32333,0.58226,18.4
0.32499,0.58312,18.4
0.32544,0.58261,18.4
0.32669,0.5823,18.4
0.32601,0.58147,18.4
0.32551,0.5793,18.4
0.3229,0.57829,18.4
0.32283,0.57887,18.4
0.32106,0.58099,18.4
0.32023,0.58169,18.4
0.31863,0.58368,18.4
0.31891,0.5854,18.4
0.31779,0.58739,18.4
0.31701,0.58575,18.4
0.31573,0.58663,18.4
0.3167,0.58714,18.4
0.31698,0.58787,18.4
0.31633,0.58965,18.4
0.31624,0.58889,18.4
0.31485,0.58922,18.4
0.31485,0.58814,18.4
0.31531,0.58629,18.4
0.31475,0.58843,18.4
0.31409,0.59018,18.4
0.31599,0.59004,18.4
0.31989,0.58819,18.4
0.32454,0.58588,18.4
0.33049,0.58555,18.4
0.33409,0.58742,18.4
0.33782,0.58847,18.4
0.34333,0.58759,18.4
0.34902,0.58969,18.4
0.35596,0.59182,18.4
0.36216,0.5923,18.4
0.37059,0.59185,18.4
0.3803,0.59014,18.4
0.38982,0.59022,18.4
0.40075,0.58926,18.4
0.41163,0.59044,18.4
0.4216,0.59108,18.4
0.43096,0.59332,18.4
0.44124,0.59706,18.4
0.45054,0.59815,18.4
0.46152,0.60148,18.4
0.47439,0.5998,18.4
0.48708,0.60051,18.4
0.49829,0.59977,18.4
0.51022,0.59774,18.4
0.52218,0.59882,18.4
0.53131,0.60225,18.4
0.54344,0.60274,18.4
0.55315,0.60287,18.4
0.56383,0.60357,18.4
0.57643,0.60314,18.4
0.58849,0.60243,18.4
0.59663,0.60345,18.4
0.60757,0.60573,18.4
0.61661,0.60868,18.4
0.6285,0.6073,18.4
0.63837,0.60706,18.4
0.64732,0.60648,18.4
0.65687,0.6052,18.4
0.6668,0.6048,18.4
0.67525,0.60567,18.4
0.68414,0.60548,18.4
0.6932,0.60719,18.4
0.70172,0.60735,18.4
0.70841,0.60788,18.4
0.71687,0.60955,18.4
0.72618,0.6101,18.4
0.73328,0.61222,18.4
0.74284,0.61353,18.4
0.74824,0.61056,18.4
0.75512,0.61297,18.4
0.76434,0.6124,18.4
0.76992,0.61358,18.4
0.7782,0.61507,18.4
0.78541,0.61579,18.4
0.7931,0.61656,18.4
0.80245,0.61743,18.4
0.81312,0.6179,18.4
0.82503,0.61826,18.4
0.83488,0.62013,18.4
0.84527,0.62209,18.4
0.85603,0.62081,18.4
0.86682,0.62217,18.4
0.87897,0.62242,18.4
0.89359,0.62392,18.4
0.90504,0.62897,18.4
0.91962,0.6295,18.4
0.93564,0.63145,18.4
0.95205,0.63302,18.4
0.96852,0.63518,18.4
0.98482,0.6358,18.4
1.0003,0.63707,18.4
1.0166,0.639,18.4
1.0341,0.63705,18.4
1.0512,0.63895,18.4
1.07,0.63949,18.4
1.0842,0.64272,18.4
1.1,0.64694,18.4
1.1185,0.64855,18.4
1.1375,0.65062,18.4
1.1575,0.65423,18.4
1.1755,0.65711,18.4
1.1935,0.65579,18.4
1.2095,0.65574,18.4
1.2253,0.65832,18.4
1.2436,0.66117,18.4
1.2608,0.6613,18.4
1.2786,0.66049,18.4
1.2971,0.662,18.4
1.3134,0.66426,18.4
1.3293,0.66539,18.4
1.3468,0.66438,18.4
1.3629,0.66706,18.4
1.3767,0.66856,18.4
1.3911,0.66823,18.4
1.4066,0.67079,18.4
1.4194,0.67386,18.4
1.4341,0.67943,18.4
1.449,0.68274,18.4
1.4664,0.68334,18.4
1.4823,0.68641,18.4
1.4985,0.68423,18.4
1.513,0.68389,18.4
1.5285,0.68599,18.4
1.5412,0.69142,18.4
1.5565,0.69321,18.4
1.5711,0.69745,18.4
1.5836,0.70048,18.4
1.6006,0.70223,18.4
1.6156,0.70574,18.4
1.6314,0.70754,18.4
1.6481,0.71085,18.4
1.6626,0.71329,18.4
1.6794,0.71389,18.4
1.6965,0.71533,18.4
1.7141,0.71692,18.4
1.7299,0.7186,18.4
1.7457,0.71973,18.4
1.7607,0.72389,18.4
1.7763,0.72673,18.4
1.7934,0.7267,18.4
1.8089,0.72822,18.4
1.8267,0.73082,18.4
1.8415,0.73521,18.4
1.8555,0.74057,18.4
1.8733,0.74298,18.4
1.8914,0.74153,18.4
1.9093,0.74658,18.4
1.9274,0.74808,18.4
1.9471,0.74991,18.4
